#汉字	频率	累计频率(%)	拼音
信	273447	51.80026055	xin4
度	272759	51.90563286	du4
产	272529	52.01091631	chan3
立	271915	52.11596256	li4
声	268157	52.21955703	sheng1
南	265435	52.32209992	nan2
代	262935	52.42367702	dai4
走	261360	52.52464566	zou3
女	261223	52.62556138	nu:3/nv3
言	261011	52.7263952	yan2
马	260992	52.82722167	ma3
金	260759	52.92795814	jin1
处	260074	53.02842997	chu3/chu4
便	260027	53.12888365	bian4/pian2
通	259794	53.22924732	tong1
命	259572	53.32952522	ming4
特	258777	53.429496	te2/te4
给	258770	53.52946407	gei3/ji3
数	258367	53.62927646	shu3/shu4/shuo4
次	257687	53.72882615	ci4
海	257683	53.82837429	hai3
今	255280	53.92699411	jin1
表	253700	54.02500354	biao3
原	252921	54.12271203	yuan2
斯	252553	54.22027835	si1
义	251400	54.31739924	yi4
各	251121	54.41441235	ge4
州	250213	54.51107468	zhou1
化	249950	54.60763541	hua4
口	248531	54.70364795	kou3
任	247884	54.79941055	ren4
真	247861	54.89516425	zhen1
才	247684	54.99084958	cai2
几	246354	55.0860211	ji1/ji3
教	246018	55.18106282	jiao1/jiao4
官	245501	55.27590481	guan1
少	244389	55.37031722	shao3/shao4
司	243171	55.46425908	si1
德	241664	55.55761876	de2
解	241482	55.65090813	jie3/jie4/xie4
神	240679	55.74388729	shen2
则	240668	55.83686219	ze2
必	240301	55.92969532	bi4
兵	239668	56.02228391	bing1
气	239284	56.11472414	qi4
打	234961	56.20549432	da2/da3
员	231929	56.29509318	yuan2
再	231643	56.38458154	zai4
论	230429	56.47360091	lun2/lun4
别	230248	56.56255036	bie2/bie4
听	229502	56.65121162	ting1/ting4
提	228659	56.73954721	di1/ti2
万	225020	56.82647697	wan4
死	224342	56.91314482	si3
更	224311	56.99980068	geng1/geng4
比	223847	57.0862773	bi3/bi4
受	223405	57.17258316	shou4
百	222693	57.25861396	bai3
做	222207	57.34445701	zuo4
尔	221448	57.43000684	er3
即	219756	57.51490302	ji2
元	219138	57.59956045	yuan2
报	218668	57.68403631	bao4
直	217947	57.76823363	zhi2
白	217439	57.85223471	bai2
总	217392	57.93621763	zong3
非	214873	58.0192274	fei1
建	214355	58.10203707	jian4
夫	214198	58.18478608	fu1
北	213780	58.2673736	bei3
未	212384	58.34942183	wei4
张	212169	58.431387	zhang1
令	212038	58.51330156	ling4
反	211868	58.59515044	fan3
士	210778	58.67657824	shi4
师	210062	58.75772943	shi1
许	209335	58.83859976	xu3
条	208509	58.919151	tiao2
变	208335	58.99963501	bian4
系	206564	59.07943485	xi4
计	206493	59.15920727	ji4
且	206487	59.23897736	qie3
认	205316	59.31829508	ren4
目	204611	59.39734044	mu4
光	203558	59.475979	guang1
管	203142	59.55445686	guan3
路	202678	59.63275546	lu4
接	202523	59.71099418	jie1
城	202054	59.78905172	cheng2
活	201464	59.86688133	huo2
保	200525	59.94434818	bao3
结	200169	60.02167751	jie1/jie2
题	199953	60.09892339	ti2
却	198653	60.17566705	que4
指	193925	60.25058419	zhi3
感	193691	60.32541093	gan3
难	192766	60.39988033	nan2/nan4
量	192572	60.47427478	liang2/liang4
务	192395	60.54860085	wu4
治	192218	60.62285855	zhi4
取	189740	60.69615894	qu3
场	189200	60.76925072	chang3
思	188730	60.84216092	si1
电	188078	60.91481925	dian4
空	187864	60.98739491	kong1/kong4
边	187718	61.05991416	bian1
统	187270	61.13226034	tong3
件	186928	61.2044744	jian4
期	186675	61.27659072	qi1
克	185512	61.34825775	ke4
帝	185402	61.41988228	di4
亲	184741	61.49125146	qin1/qing4
复	184103	61.56237416	fu4
住	183990	61.63345321	zhu4
请	183411	61.70430859	qing3
市	182781	61.77492057	shi4
六	182450	61.84540469	liu4
放	181974	61.91570492	fang4
风	180844	61.98556861	feng1
资	180714	62.05538207	zi1
求	180685	62.12518434	qiu2
史	180461	62.19490006	shi3
色	178066	62.26369055	se4/shai3
形	177842	62.33239451	xing2
望	177387	62.40092268	wang4
传	176625	62.46915649	chuan2/zhuan4
八	176594	62.53737831	ba1
府	175390	62.60513501	fu3
眼	175349	62.67287587	yan3
领	175241	62.740575	ling3
清	175235	62.80827182	qing1
决	174391	62.87564258	jue2
笑	173440	62.94264596	xiao4
告	173343	63.00961185	gao4
叫	170831	63.07560732	jiao4
队	170486	63.1414695	dui4
强	169857	63.20708869	qiang2
往	169310	63.27249656	wang3/wang4
区	168843	63.33772402	ou1/qu1
交	168593	63.4028549	jiao1
武	168547	63.467968	wu3
达	168497	63.5330618	da2
社	168283	63.59807291	she4
权	166785	63.66250533	quan2
科	165989	63.72663023	ke1
九	165868	63.79070838	jiu3
设	165610	63.85468687	she4
李	164342	63.9181755	li3
观	164070	63.98155905	guan1/guan4
记	163761	64.04482323	ji4
改	162950	64.10777411	gai3
展	162560	64.17057431	zhan3
字	162385	64.23330692	zi4
故	162249	64.29598698	gu4
品	161665	64.35844143	pin3
议	161057	64.420661	yi4
象	160760	64.48276584	xiang4
花	160137	64.54462999	hua1
七	159351	64.6061905	qi1
完	159273	64.66772087	wan2
林	158915	64.72911294	lin2
基	158901	64.79049961	ji1
服	158808	64.85185034	fu2
带	158751	64.91317906	dai4
据	158364	64.97435827	ju1/ju4
界	158275	65.0355031	jie4
云	157253	65.0962531	yun2
觉	156903	65.1568679	jiao4/jue2
像	155766	65.21704345	xiang4
院	155534	65.27712937	yuan4
飞	153140	65.33629044	fei1
远	152267	65.39511426	yuan3
收	152207	65.4539149	shou1
石	151297	65.51236398	dan4/shi2
众	150676	65.57057316	zhong4
车	150235	65.62861197	che1/ju1
候	149484	65.68636066	hou4
类	149419	65.74408423	lei4
程	149163	65.80170891	cheng2
转	149126	65.8593193	zhuan3/zhuan4
共	149119	65.91692698	gong4
千	149072	65.9745165	qian1
式	148885	66.03203378	shi4
失	148762	66.08950354	shi1
流	148597	66.14690956	liu2
每	148088	66.20411894	mei3
该	147670	66.26116685	gai1
朝	147649	66.31820663	chao2/zhao1
始	147204	66.37507451	shi3
连	146272	66.43158234	lian2
